Your age,Gender,Frequency of using ride sharing,Waiting time for a ride,"Distance travelled

", Driver's rating,Cleanliness of vehicle, Ease of booking ,Cost of Ride ,Time of day,"Ride-Sharing Service Rating:
"
21,Male,Rarely,11-20 minutes,7-15 km,4,Sometimes,Neutral,Neutral,Morning,4
21,Male,Rarely,Less than 5 minutes,2-7 km,3,Often,Easy,Neutral,Morning,3
28,Male,Occasionally,21-30 minutes,2-7 km,4,Sometimes,Neutral,Expensive,Morning,3
26,Male,Occasionally,5-10 minutes,7-15 km,4,Often,Neutral,Neutral,Afternoon,3
21,Male,Occasionally,5-10 minutes,7-15 km,4,Often,Very easy,Affordable,Afternoon,4
18,Male,Rarely,Less than 5 minutes,7-15 km,3,Sometimes,Neutral,Neutral,Night,4
21,Female,Rarely,11-20 minutes,7-15 km,4,Sometimes,Easy,Expensive,Afternoon,3
21,Male,Monthly,21-30 minutes,15-21 km,5,Often,Easy,Affordable,Evening,5
21,Female,Rarely,11-20 minutes,15-21 km,4,Always,Easy,Neutral,Morning,4
20,Female,Occasionally,21-30 minutes,7-15 km,3,Sometimes,Neutral,Expensive,Evening,3
22,Female,Weekly,5-10 minutes,15-21 km,5,Always,Neutral,Neutral,Morning,3
28,Male,Occasionally,11-20 minutes,15-21 km,4,Rarely,Neutral,Neutral,Evening,4
40,Male,Monthly,5-10 minutes,21-30 km,5,Always,Very easy,Very affordable,Evening,5
20,Female,Occasionally,11-20 minutes,15-21 km,3,Sometimes,Very easy,Affordable,Evening,4
34,Male,Rarely,11-20 minutes,more than 30 km,4,Always,Easy,Affordable,Evening,4
24,Male,Weekly,5-10 minutes,15-21 km,3,Sometimes,Neutral,Expensive,Afternoon,2
20,Female,Occasionally,5-10 minutes,more than 30 km,4,Always,Neutral,Affordable,Afternoon,4
51,Female,Rarely,5-10 minutes,21-30 km,4,Often,Difficult,Neutral,Evening,4
25,Female,Occasionally,5-10 minutes,21-30 km,4,Sometimes,Very easy,Neutral,Afternoon,4
20,Female,Occasionally,11-20 minutes,7-15 km,4,Often,Neutral,Expensive,Morning,4
22,Male,Rarely,11-20 minutes,7-15 km,4,Often,Easy,Very expensive,Evening,3
